"","match_id","date","player1","player2","tournament","court","surface"
"1","20220713-M-Newport-R16-Andy_Murray-Max_Purcell",2022-07-13,"Andy Murray","Max Purcell","Newport","Center","Grass"
"2","20220712-M-Newport-R32-Andy_Murray-Sam_Querrey",2022-07-12,"Andy Murray","Sam Querrey","Newport","Stadium","Grass"
"3","20220712-M-Bastad-R32-Emil_Ruusuvuori-Dominic_Thiem",2022-07-12,"Emil Ruusuvuori","Dominic Thiem","Bastad","Center","Clay"
"4","20220706-M-Wimbledon-QF-Nick_Kyrgios-Cristian_Garin",2022-07-06,"Nick Kyrgios","Cristian Garin","Wimbledon","1","Grass"
"5","20220704-M-Wimbledon-R16-Rafael_Nadal-Botic_Van_De_Zandschulp",2022-07-04,"Rafael Nadal","Botic Van De Zandschulp","Wimbledon","Centre Court","Grass"
"6","20220703-M-Wimbledon-R16-Novak_Djokovic-Tim_Van_Rijthoven",2022-07-03,"Novak Djokovic","Tim Van Rijthoven","Wimbledon","Centre Court","Grass"
"7","20220702-M-Wimbledon-R32-Stefanos_Tsitsipas-Nick_Kyrgios",2022-07-02,"Stefanos Tsitsipas","Nick Kyrgios","Wimbledon","","Grass"
"8","20220630-M-Wimbledon-R64-Nick_Kyrgios-Filip_Krajinovic",2022-06-30,"Nick Kyrgios","Filip Krajinovic","Wimbledon","2","Grass"
"9","20220628-M-Wimbledon-R128-Feliciano_Lopez-Botic_Van_De_Zandschulp",2022-06-28,"Feliciano Lopez","Botic Van De Zandschulp","Wimbledon","4","Grass"
"10","20220627-M-Wimbledon-R128-Federico_Delbonis-Tim_Van_Rijthoven",2022-06-27,"Federico Delbonis","Tim Van Rijthoven","Wimbledon","11","Grass"
"11","20220619-M-Queens_Club-F-Filip_Krajinovic-Matteo_Berrettini",2022-06-19,"Filip Krajinovic","Matteo Berrettini","Queens Club","Centre","Grass"
"12","20220617-M-Halle-QF-Roberto_Bautista_Agut-Daniil_Medvedev",2022-06-17,"Roberto Bautista Agut","Daniil Medvedev","Halle","","Grass"
"13","20220617-M-Halle-QF-Pablo_Carreno_Busta-Nick_Kyrgios",2022-06-17,"Pablo Carreno Busta","Nick Kyrgios","Halle","","Grass"
"14","20220615-M-Halle-R32-Daniil_Medvedev-David_Goffin",2022-06-15,"Daniil Medvedev","David Goffin","Halle","","Grass"
"15","20220615-M-Halle-R16-Stefanos_Tsitsipas-Nick_Kyrgios",2022-06-15,"Stefanos Tsitsipas","Nick Kyrgios","Halle","","Grass"
"16","20220612-M-s_Hertogenbosch-F-Tim_Van_Rijthoven-Daniil_Medvedev",2022-06-12,"Tim Van Rijthoven","Daniil Medvedev","s Hertogenbosch","Centre Court","Grass"
"17","20220612-M-Stuttgart-F-Andy_Murray-Matteo_Berrettini",2022-06-12,"Andy Murray","Matteo Berrettini","Stuttgart","","Grass"
"18","20220611-M-s_Hertogenbosch-SF-Tim_Van_Rijthoven-Felix_Auger_Aliassime",2022-06-11,"Tim Van Rijthoven","Felix Auger Aliassime","s Hertogenbosch","Centre","Grass"
"19","20220611-M-Stuttgart-SF-Andy_Murray-Nick_Kyrgios",2022-06-11,"Andy Murray","Nick Kyrgios","Stuttgart","","Grass"
"20","20220610-M-s_Hertogenbosch-QF-Tim_Van_Rijthoven-Hugo_Gaston",2022-06-10,"Tim Van Rijthoven","Hugo Gaston","s Hertogenbosch","1","Grass"
"21","20220610-M-Stuttgart-QF-Stefanos_Tsitsipas-Andy_Murray",2022-06-10,"Stefanos Tsitsipas","Andy Murray","Stuttgart","","Grass"
"22","20220609-M-s_Hertogenbosch-R16-Gilles_Simon-Daniil_Medvedev",2022-06-09,"Gilles Simon","Daniil Medvedev","s Hertogenbosch","Centre Court","Grass"
"23","20220609-M-Stuttgart-R16-Nick_Kyrgios-Nikoloz_Basilashvili",2022-06-09,"Nick Kyrgios","Nikoloz Basilashvili","Stuttgart","","Grass"
"24","20220609-M-Stuttgart-R16-Andy_Murray-Alexander_Bublik",2022-06-09,"Andy Murray","Alexander Bublik","Stuttgart","","Grass"
"25","20220605-M-Roland_Garros-F-Rafael_Nadal-Casper_Ruud",2022-06-05,"Rafael Nadal","Casper Ruud","Roland Garros","Philippe Chatrier","Clay"
"26","20220603-M-Roland_Garros-SF-Casper_Ruud-Marin_Cilic",2022-06-03,"Casper Ruud","Marin Cilic","Roland Garros","Chatrier","Clay"
"27","20220603-M-Roland_Garros-R64-Carlos_Alcaraz-Albert_Ramos",2022-06-03,"Carlos Alcaraz","Albert Ramos","Roland Garros","Simonne Mathieu","Clay"
"28","20220531-M-Roland_Garros-QF-Novak_Djokovic-Rafael_Nadal",2022-05-31,"Novak Djokovic","Rafael Nadal","Roland Garros","Philippe Chatrier","Clay"
"29","20220531-M-Roland_Garros-QF-Carlos_Alcaraz-Alexander_Zverev",2022-05-31,"Carlos Alcaraz","Alexander Zverev","Roland Garros","Philippe Chatrier","Clay"
"30","20220530-M-Roland_Garros-R16-Marin_Cilic-Daniil_Medvedev",2022-05-30,"Marin Cilic","Daniil Medvedev","Roland Garros","Philippe Chatrier","Clay"
"31","20220528-M-Roland_Garros-R32-Miomir_Kecmanovic-Daniil_Medvedev",2022-05-28,"Miomir Kecmanovic","Daniil Medvedev","Roland Garros","Suzanne Lenglen","Clay"
"32","20220528-M-Roland_Garros-R32-Marin_Cilic-Gilles_Simon",2022-05-28,"Marin Cilic","Gilles Simon","Roland Garros","Philippe Chatrier","Clay"
"33","20220527-M-Roland_Garros-R32-Rafael_Nadal-Botic_Van_De_Zandschulp",2022-05-27,"Rafael Nadal","Botic Van De Zandschulp","Roland Garros","Suzanne Lenglen","Clay"
"34","20220526-M-Roland_Garros-R64-Stefanos_Tsitsipas-Zdenek_Kolar",2022-05-26,"Stefanos Tsitsipas","Zdenek Kolar","Roland Garros","Suzanne Lenglen","Clay"
"35","20220526-M-Roland_Garros-R64-Gilles_Simon-Steve_Johnson",2022-05-26,"Gilles Simon","Steve Johnson","Roland Garros","Philippe Chatrier","Clay"
"36","20220526-M-Roland_Garros-R64-Daniil_Medvedev-Laslo_Djere",2022-05-26,"Daniil Medvedev","Laslo Djere","Roland Garros","Chatrier","Clay"
"37","20220524-M-Roland_Garros-R128-Stefanos_Tsitsipas_-Lorenzo_Musetti",2022-05-24,"Stefanos Tsitsipas ","Lorenzo Musetti","Roland Garros","Philippe Chatrier","Clay"
"38","20220524-M-Roland_Garros-R128-Pablo_Carreno_Busta-Gilles_Simon",2022-05-24,"Pablo Carreno Busta","Gilles Simon","Roland Garros","Simonne Mathieu","Clay"
"39","20220524-M-Roland_Garros-R128-Casper_Ruud-Jo_Wilfried_Tsonga",2022-05-24,"Casper Ruud","Jo Wilfried Tsonga","Roland Garros","Philippe Chatrier","Clay"
"40","20220522-M-Roland_Garros-R128-Botic_Van_De_Zandschulp-Pavel_Kotov",2022-05-22,"Botic Van De Zandschulp","Pavel Kotov","Roland Garros","12","Clay"
"41","20220522-M-Geneva-SF-Casper_Ruud-Reilly_Opelka",2022-05-22,"Casper Ruud","Reilly Opelka","Geneva","Centre","Clay"
"42","20220521-M-Shymkent_CH-F-Robin_Haase-Sergey_Fomin",2022-05-21,"Robin Haase","Sergey Fomin","Shymkent CH","Center","Clay"
"43","20220519-M-Lyon-R16-Alex_Molcan_-Karen_Khachanov_",2022-05-19,"Alex Molcan ","Karen Khachanov ","Lyon","Centre","Clay"
"44","20220518-M-Roland_Garros-Q2-Radu_Albot-Jason_Kubler",2022-05-18,"Radu Albot","Jason Kubler","Roland Garros","6","Clay"
"45","20220518-M-Geneva-R16-Casper_Ruud-Benoit_Paire",2022-05-18,"Casper Ruud","Benoit Paire","Geneva","Centre","Clay"
"46","20220517-M-Roland_Garros-Q1-Christopher_Eubanks-Paul_Jubb",2022-05-17,"Christopher Eubanks","Paul Jubb","Roland Garros","4","Clay"
"47","20220516-M-Roland_Garros-Q1-Sascha_Gueymard_Wayenburg-Flavio_Cobolli",2022-05-16,"Sascha Gueymard Wayenburg","Flavio Cobolli","Roland Garros","","Clay"
"48","20220515-M-Rome_Masters-F-Stefanos_Tsitsipas-Novak_Djokovic",2022-05-15,"Stefanos Tsitsipas","Novak Djokovic","Rome Masters","Centre","Clay"
"49","20220514-M-Zagreb_CH-F-Filip_Misolic-Mili_Poljicak",2022-05-14,"Filip Misolic","Mili Poljicak","Zagreb CH","","Clay"
"50","20220514-M-Rome_Masters-SF-Stefanos_Tsitsipas-Alexander_Zverev",2022-05-14,"Stefanos Tsitsipas","Alexander Zverev","Rome Masters","Centre","Clay"
"51","20220514-M-Rome_Masters-SF-Casper_Ruud-Novak_Djokovic",2022-05-14,"Casper Ruud","Novak Djokovic","Rome Masters","","Clay"
"52","20220513-M-Rome_Masters-QF-Novak_Djokovic-Felix_Auger_Aliassime",2022-05-13,"Novak Djokovic","Felix Auger Aliassime","Rome Masters","Centrale","Clay"
"53","20220512-M-Rome_Masters-R16-Stan_Wawrinka-Novak_Djokovic",2022-05-12,"Stan Wawrinka","Novak Djokovic","Rome Masters","Centrale","Clay"
"54","20220511-M-Rome_Masters-R32-Novak_Djokovic-Aslan_Karatsev",2022-05-11,"Novak Djokovic","Aslan Karatsev","Rome Masters","","Clay"
"55","20220510-M-Rome_Masters-R64-Sebastian_Baez-Tallon_Griekspoor",2022-05-10,"Sebastian Baez","Tallon Griekspoor","Rome Masters","2","Clay"
"56","20220510-M-Rome_Masters-R32-Andrey_Rublev-Filip_Krajinovic",2022-05-10,"Andrey Rublev","Filip Krajinovic","Rome Masters","","Clay"
