"","match_id","player","pts","ptsWon","aces","ptsWonLte3Shots","wide","body","t","snvPts","snvPtsWon","nonSnvPts","nonSnvPtsWon"
"1","19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec",1,69,46,2,18,29,28,12,30,23,38,23
"2","19751219-M-Davis_Cup_World_Group_F-RR-Bjorn_Borg-Jiri_Hrebec",2,63,27,2,13,16,20,27,10,6,51,21
"3","19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg",1,55,30,0,12,19,27,9,23,17,31,13
"4","19780125-M-Pepsi_Grand_Slam-SF-Brian_Gottfried-Bjorn_Borg",2,49,35,0,11,12,23,14,0,0,0,0
"5","19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg",1,180,119,12,93,60,59,61,165,107,12,12
"6","19800705-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg",2,196,131,8,68,48,82,65,116,81,73,50
"7","19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl",1,73,44,7,12,38,6,29,1,1,70,43
"8","19810607-M-Roland_Garros-F-Bjorn_Borg-Ivan_Lendl",2,73,36,2,13,46,11,16,4,3,67,33
"9","19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg",1,150,101,8,74,79,16,55,138,99,4,2
"10","19810704-M-Wimbledon-F-John_Mcenroe-Bjorn_Borg",2,139,90,10,43,62,17,60,64,44,72,46
"11","19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg",1,113,71,9,46,56,11,46,83,58,23,13
"12","19810913-M-US_Open-F-John_Mcenroe-Bjorn_Borg",2,112,62,9,28,51,10,51,14,9,91,53
"13","19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl",1,114,73,3,29,68,4,42,6,4,106,69
"14","19820912-M-US_Open-F-Jimmy_Connors-Ivan_Lendl",2,127,68,14,37,72,13,42,1,1,123,67
"15","19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl",1,55,36,7,21,18,20,17,28,19,22,17
"16","19840506-M-Forest_Hills_WCT-F-John_Mcenroe-Ivan_Lendl",2,59,32,4,17,21,10,28,0,0,0,0
"17","19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl",1,72,55,8,43,38,6,28,60,50,6,5
"18","19840909-M-US_Open-F-John_Mcenroe-Ivan_Lendl",2,83,47,3,19,48,6,28,29,17,53,30
"19","19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren",1,120,85,19,55,60,8,52,112,84,1,1
"20","19850707-M-Wimbledon-F-Boris_Becker-Kevin_Curren",2,136,86,15,62,85,13,38,130,86,0,0
"21","19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl",1,88,57,5,36,61,8,19,65,44,22,13
"22","19850908-M-US_Open-F-John_Mcenroe-Ivan_Lendl",2,88,67,4,40,55,9,24,22,19,62,48
"23","19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl",1,87,54,1,40,25,41,21,69,46,11,8
"24","19870901-M-US_Open-QF-John_Mcenroe-Ivan_Lendl",2,75,58,8,40,37,14,24,2,1,70,57
"25","19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl",1,181,110,2,29,111,22,48,61,38,120,72
"26","19880911-M-US_Open-F-Mats_Wilander-Ivan_Lendl",2,146,90,9,34,86,22,38,5,5,139,85
"27","19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg",1,91,62,5,35,46,9,36,83,59,4,3
"28","19890709-M-Wimbledon-F-Boris_Becker-Stefan_Edberg",2,93,52,0,35,52,10,31,91,52,0,0
"29","19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl",1,143,86,9,60,83,26,34,91,60,41,26
"30","19890910-M-US_Open-F-Boris_Becker-Ivan_Lendl",2,125,77,4,30,78,7,40,6,4,114,73
"31","19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg",1,90,53,5,17,67,2,21,1,1,84,52
"32","19900128-M-Australian_Open-F-Ivan_Lendl-Stefan_Edberg",2,109,58,1,25,62,13,34,71,41,29,17
"33","19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl",1,58,31,5,25,17,26,15,51,30,2,1
"34","19900611-M-Queens_Club-F-Boris_Becker-Ivan_Lendl",2,53,37,12,31,22,8,23,46,36,1,1
"35","19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras",1,99,56,0,19,47,1,51,0,0,0,0
"36","19900909-M-US_Open-F-Andre_Agassi-Pete_Sampras",2,72,55,13,32,32,4,36,35,28,36,27
"37","19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker",1,106,66,9,38,67,6,33,0,0,0,0
"38","19910127-M-Australian_Open-F-Ivan_Lendl-Boris_Becker",2,108,67,8,36,53,22,32,23,14,82,53
"39","19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg",1,89,44,3,19,52,1,35,10,5,75,39
"40","19910908-M-US_Open-F-Jim_Courier-Stefan_Edberg",2,64,50,3,30,33,15,16,57,44,6,6
"41","19920126-M-Australian_Open-F-Jim_Courier-Stefan_Edberg",1,113,74,3,37,73,2,38,2,1,109,73
